"Notes","States","States Code","Year","Year Code","Leading Cancer Sites","Leading Cancer Sites Code","Age Groups","Age Groups Code","Race","Race Code",Count,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval,Crude Rate Standard Error
,"Alabama","01","2021","2021","Breast","26000","30-34 years","30-34","Black or African American","2054-5",19,100257,19.0,11.4,29.6,4.3
,"Alabama","01","2021","2021","Breast","26000","30-34 years","30-34","White","2106-3",28,221704,12.6,8.4,18.3,2.4
,"Alabama","01","2021","2021","Breast","26000","35-39 years","35-39","Black or African American","2054-5",34,88245,38.5,26.7,53.8,6.6
,"Alabama","01","2021","2021","Breast","26000","35-39 years","35-39","White","2106-3",61,213871,28.5,21.8,36.6,3.7
,"Alabama","01","2021","2021","Breast","26000","40-44 years","40-44","Black or African American","2054-5",56,86872,64.5,48.7,83.7,8.6
,"Alabama","01","2021","2021","Breast","26000","40-44 years","40-44","White","2106-3",154,211711,72.7,61.7,85.2,5.9
,"Alabama","01","2021","2021","Breast","26000","45-49 years","45-49","Black or African American","2054-5",96,80015,120.0,97.2,146.5,12.2
,"Alabama","01","2021","2021","Breast","26000","45-49 years","45-49","White","2106-3",194,211559,91.7,79.2,105.6,6.6
,"Alabama","01","2021","2021","Breast","26000","50-54 years","50-54","Black or African American","2054-5",115,79539,144.6,119.4,173.6,13.5
,"Alabama","01","2021","2021","Breast","26000","50-54 years","50-54","White","2106-3",241,231192,104.2,91.5,118.3,6.7
,"Alabama","01","2021","2021","Breast","26000","55-59 years","55-59","Black or African American","2054-5",171,84307,202.8,173.6,235.6,15.5
,"Alabama","01","2021","2021","Breast","26000","55-59 years","55-59","White","2106-3",346,242990,142.4,127.8,158.2,7.7
,"Alabama","01","2021","2021","Breast","26000","60-64 years ","60-64","Black or African American","2054-5",155,82833,187.1,158.8,219.0,15.0
,"Alabama","01","2021","2021","Breast","26000","60-64 years ","60-64","White","2106-3",403,243397,165.6,149.8,182.6,8.2
,"Alabama","01","2021","2021","Breast","26000","65-69 years","65-69","Black or African American","2054-5",164,69621,235.6,200.9,274.5,18.4
,"Alabama","01","2021","2021","Breast","26000","65-69 years","65-69","White","2106-3",487,216961,224.5,205.0,245.3,10.2
,"Alabama","01","2021","2021","Breast","26000","70-74 years","70-74","Black or African American","2054-5",131,51104,256.3,214.3,304.2,22.4
,"Alabama","01","2021","2021","Breast","26000","70-74 years","70-74","White","2106-3",445,190115,234.1,212.8,256.9,11.1
,"Alabama","01","2021","2021","Breast","26000","75-79 years","75-79","Black or African American","2054-5",83,28281,293.5,233.8,363.8,32.2
,"Alabama","01","2021","2021","Breast","26000","75-79 years","75-79","White","2106-3",352,127981,275.0,247.1,305.3,14.7
,"Alabama","01","2021","2021","Breast","26000","80-84 years","80-84","Black or African American","2054-5",50,17375,287.8,213.6,379.4,40.7
,"Alabama","01","2021","2021","Breast","26000","80-84 years","80-84","White","2106-3",196,81672,240.0,207.6,276.0,17.1
,"Alabama","01","2021","2021","Breast","26000","85+ years","85+","Black or African American","2054-5",52,15285,340.2,254.1,446.1,47.2
,"Alabama","01","2021","2021","Breast","26000","85+ years","85+","White","2106-3",176,69578,253.0,217.0,293.2,19.1
,"Alabama","01","2021","2021","Kidney and Renal Pelvis","29020","35-39 years","35-39","White","2106-3",18,213871,8.4,5.0,13.3,2.0
,"Alabama","01","2021","2021","Kidney and Renal Pelvis","29020","40-44 years","40-44","White","2106-3",36,211711,17.0,11.9,23.5,2.8
,"Alabama","01","2021","2021","Kidney and Renal Pelvis","29020","45-49 years","45-49","White","2106-3",60,211559,28.4,21.6,36.5,3.7
,"Alabama","01","2021","2021","Kidney and Renal Pelvis","29020","50-54 years","50-54","Black or African American","2054-5",18,79539,22.6,13.4,35.8,5.3
,"Alabama","01","2021","2021","Kidney and Renal Pelvis","29020","50-54 years","50-54","White","2106-3",69,231192,29.8,23.2,37.8,3.6
,"Alabama","01","2021","2021","Kidney and Renal Pelvis","29020","55-59 years","55-59","Black or African American","2054-5",45,84307,53.4,38.9,71.4,8.0
,"Alabama","01","2021","2021","Kidney and Renal Pelvis","29020","55-59 years","55-59","White","2106-3",99,242990,40.7,33.1,49.6,4.1
,"Alabama","01","2021","2021","Kidney and Renal Pelvis","29020","60-64 years ","60-64","Black or African American","2054-5",54,82833,65.2,49.0,85.1,8.9
,"Alabama","01","2021","2021","Kidney and Renal Pelvis","29020","60-64 years ","60-64","White","2106-3",121,243397,49.7,41.3,59.4,4.5
,"Alabama","01","2021","2021","Kidney and Renal Pelvis","29020","65-69 years","65-69","Black or African American","2054-5",49,69621,70.4,52.1,93.0,10.1
,"Alabama","01","2021","2021","Kidney and Renal Pelvis","29020","65-69 years","65-69","White","2106-3",138,216961,63.6,53.4,75.1,5.4
,"Alabama","01","2021","2021","Kidney and Renal Pelvis","29020","70-74 years","70-74","Black or African American","2054-5",37,51104,72.4,51.0,99.8,11.9
,"Alabama","01","2021","2021","Kidney and Renal Pelvis","29020","70-74 years","70-74","White","2106-3",145,190115,76.3,64.4,89.7,6.3
,"Alabama","01","2021","2021","Kidney and Renal Pelvis","29020","75-79 years","75-79","Black or African American","2054-5",32,28281,113.2,77.4,159.7,20.0
,"Alabama","01","2021","2021","Kidney and Renal Pelvis","29020","75-79 years","75-79","White","2106-3",102,127981,79.7,65.0,96.7,7.9
